Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integral/0/3.14159,66,0,138000.0,136829.13699053024,82193.292296,178348.92257300002,90.0,0.37002615892284074,0.0,139000,151000,158000,163000,171000,174000,177000,178000,178000,178000,178000
,Aggregated,66,0,138000.0,136829.13699053024,82193.292296,178348.92257300002,90.0,0.37002615892284074,0.0,139000,151000,158000,163000,171000,174000,177000,178000,178000,178000,178000
