Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integral/0/3.14159,420,0,83000.0,75964.47112613331,4253.002964,109759.761737,90.0,1.1719754032521688,0.0,83000,90000,93000,94000,99000,103000,107000,108000,110000,110000,110000
,Aggregated,420,0,83000.0,75964.47112613331,4253.002964,109759.761737,90.0,1.1719754032521688,0.0,83000,90000,93000,94000,99000,103000,107000,108000,110000,110000,110000
