Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integral/0/3.14159,2493,0,14000.0,14111.995484176106,2947.122238,20481.180785,90.0,6.944180390283968,0.0,14000,15000,15000,16000,17000,17000,18000,19000,20000,20000,20000
,Aggregated,2493,0,14000.0,14111.995484176106,2947.122238,20481.180785,90.0,6.944180390283968,0.0,14000,15000,15000,16000,17000,17000,18000,19000,20000,20000,20000
